Address,Connector level (group),Date Created,id,Latitude,Longitude,Name,Place,Level,Value,Image,Top,Left,ShortName
"11000 Sepulveda Blvd, Mission Hills CA 91345",Level 2,2012,1433,34.26972,-118.46676,Nissan of Mission Hills,SDG7,LA,,,,,
"120 South Los Angeles Street Los Angeles, CA 90012",Level 2,2012,4387,34.050299,-118.242931,DoubleTree by Hilton Hotel Los Angeles Downtown,SDG7,LA,,,,,
"8700 Beverly Blvd, Los Angeles, CA 90048",Level 2,2012,43049,34.074627,-118.382118,Cedars Sinai Medical Center - Lot 8,SDG7,LA,,,,,
"1 World Way, Lot 6, Los Angeles, CA 90045",Level 2,2012,8444,33.943184,-118.403221,LAX Airport - Lot 6,SDG7,LA,,,,,
"5905 Wilshire Boulevard, Los Angeles, CA, 90036",Level 2,2012,8464,34.064774,-118.359207,Los Angeles County Museum of Art,SDG7,LA,,,,,
"2049 Century Park E, Los Angeles, California 90067, United States",Level 2,2012,3937,34.058804,-118.413162,Century Park Towers,SDG7,LA,,,,,
"1875 Century Park E, Los Angeles CA 90067",Level 2,2012,2670,34.061357,-118.414762,Watt Plaza Office of the Building,SDG7,LA,,,,,
"10100 Constellation Blvd, Los Angeles, CA 90067, USA",Level 2,2012,3961,34.059188,-118.414775,The Annenberg Foundation,SDG7,LA,,,,,
"333 S. Hope St., Los Angeles, CA, 90071",Level 2,2012,2733,34.053537,-118.253022,Bank of America Plaza,SDG7,LA,,,,,
"700 Exposition Park Dr., Los Angeles, CA, 90037",Level 2,2012,2937,34.015271,-118.284191,California Science Center,SDG7,LA,,,,,
"943 W 8th St., Los Angeles, CA, 90017",Level 2,2012,4781,34.04958,-118.26226,Figueroa Tower Parking Garage,SDG7,LA,,,,,
"2029 Century Park E, Los Angeles, California 90067, United States",Level 2,2012,4783,34.059689,-118.413146,Century Park Towers - 2029,SDG7,LA,,,,,
"1600 Campus Road, Los Angeles, CA, 90041",Level 2,2012,6608,34.129345,-118.211014,Occidental College Staff/Faculty Parking Lot,SDG7,LA,,,,,
"23335 Mulholland Drive, Woodland Hills, CA 91364",Level 2,2012,6904,34.15596,-118.633415,El Camino Shopping Center,SDG7,LA,,,,,
"1 LMU Drive, Los Angeles, CA 90045",Level 2,2012,6890,33.967663,-118.421684,Loyola Marymount University - U Hall,SDG7,LA,,,,,
"15031 Rinaldi Street, Mission Hills, CA 91346",Level 2,2012,64190,34.280247,-118.461564,Providence Holy Cross Medical Center - General Parking,SDG7,LA,,,,,
